,cz-3,falcon_9,atlas_5,h-2a,globalstar,name
0,100.0,5.034752833403775e-46,1.8269868741168023e-29,1.629198352385154e-84,6.488562241143319e-43,19034C_3_4_C_20220227
1,100.0,1.3294910703614702e-87,3.513479112931888e-52,4.0175013635315087e-84,4.7739103931927876e-26,18072C_1_2_C_20220322
2,100.0,3.342904540480623e-70,1.3365189606944448e-34,5.444397403483586e-77,2.0759357830535237e-33,16037B_1_2_C_20220428
3,3.4594714638278057e-43,2.853437846735346e-103,100.0,2.15468389467847e-94,3.421708292195714e-37,17025B_1_2_R_20190322
4,7.655489976105357e-20,1.854028032790529e-110,1.8695472945148954e-09,1.0918241087216263e-136,99.99999999813045,06018B_2_3_4_R_20200623
5,1.0271664409287307e-17,1.781841826284357e-63,3.6034930837678596e-21,2.8924385877584167e-55,100.0,15056B_1_2_C_20210111
6,1.7931536098730843e-43,1.244193165940059e-54,100.0,1.9883060842245823e-75,3.697017235436686e-75,17063B_1_2_C_20220429
7,2.5357941286121874e-05,2.1147258248497102e-58,4.0043210902333454e-29,6.845335346168033e-56,99.9999746420587,16064B_1_2_C_20220323
8,1.761081442529778e-27,2.557348297766453e-76,100.0,3.804360461675433e-54,1.0531618787213482e-29,13024B_1_2_R_20211029
9,3.908921983765894e-26,1.544236664649419e-42,6.639770840976409e-12,3.596569055937285e-61,99.99999999999336,98058B_1_2_C_20210131
10,2.6874605526218807e-11,1.1884454610118028e-98,99.99999999954758,7.514710712470417e-74,4.255437369718229e-10,06054D_3_R_20220615
11,2.6281262696178186e-54,2.1793896429526582e-35,9.508253557104497e-59,6.373794353683787e-58,100.0,12009B_1_2_C_20210307
